"SID"	"count"	"gene"	"n"	"pvalue"	"qvalue"
"2:73520833-73523828"	2996	"EGR4"	3	0.480689614681565	1
"2:73609885-73612884"	3000	"ALMS1"	3	0.576686443765257	1
"2:73869520-73872519"	3000	"NAT8"	6	0.265276855916773	1
"2:73964513-73967516"	3004	"TPRKB"	3	0.700143479234659	1
"2:74007284-74008313"	1030	"DUSP11"	2	0.120126252753211	1
"2:74008315-74010283"	1969	"C2orf78"	3	0.158947702077237	1
"2:74053085-74056156"	3071	"STAMBP"	3	0.635007222387811	1
"2:74117093-74120092"	3000	"ACTG2"	3	0.340058964244752	1
"2:74150952-74153951"	3000	"DGUOK"	5	0.0753595975859039	1
"2:74270449-74273375"	2927	"TET3"	2	0.528731204411754	1
"2:74375121-74378038"	2918	"BOLA3"	0	0.938455666710192	1
"2:74405995-74408994"	3000	"MOB1A"	4	0.157481471435287	1
"2:74422689-74425687"	2999	"MTHFD2"	3	0.293270704645798	1
"2:74590504-74593503"	1337	"RP11-287D1.3"	0	NA	NA
"2:74607482-74610481"	3000	"DCTN1"	1	0.800327534222036	1
"2:74643845-74645854"	1914	"C2orf81"	1	0.65853460816845	1
"2:74645856-74648855"	2108	"WDR54"	0	0.879386449708718	1
"2:74668061-74672059"	3822	"RTKN"	1	0.894219581671924	1
"2:74679149-74682148"	3000	"INO80B"	4	0.344689129268977	1
"2:74682526-74685525"	2547	"WBP1"	5	0.041424000641626	1
"2:74692537-74695536"	3000	"MOGS"	1	0.80029550362709	1
"2:74699814-74702813"	2786	"MRPL53"	1	0.760770266398525	1
"2:74710123-74710214"	81	"TTC31"	0	0.0750902312237174	1
"2:74730111-74733110"	2923	"LBX2"	2	0.528710347261314	1
"2:74735707-74738609"	2903	"PCGF1"	0	0.939307269561544	1
"2:74738610-74741609"	2920	"TLX2"	5	0.145981839568533	1
"2:74753463-74753772"	310	"DQX1"	0	0.258279034836051	1
"2:74781062-74781211"	150	"LOXL3"	1	0.00940184403793656	1
"2:74867454-74878163"	2977	"M1AP"	3	0.298149484312983	1
"2:74878392-74881353"	2962	"SEMA4F"	5	0.0752885063822437	1
"2:75058107-75061878"	2980	"HK2"	10	0.0768058308251904	1
"2:75182774-75185617"	2844	"POLE4"	3	0.463955585179692	1
"2:75426826-75429644"	2819	"TACR1"	5	0.230740408499043	1
"2:75798122-75798483"	362	"EVA1A"	0	0.422420106893013	1
"2:75870908-75873904"	2997	"MRPL19"	5	0.310137444225135	1
"2:75938018-75941110"	3093	"GCFC2"	10	0.0413853961614153	1
"2:77749494-77752501"	3008	"LRRTM4"	20	1.39232524591721e-05	0.197849417444835
"2:79249825-79252851"	3026	"REG3G"	16	0.00165451988598695	1
"2:79315119-79318118"	3000	"REG1B"	23	1.12239807663281e-06	0.015980703815098
"2:79344583-79347582"	3000	"REG1A"	9	0.152052342322407	1
"2:79386879-79389878"	3000	"REG3A"	20	0.000163712720525139	1
"2:84686604-84689585"	2982	"SUCLG1"	0	0.99498371269712	1
"2:84740578-84744941"	2763	"DNAH6"	5	0.189248598236123	1
"2:85108369-85111251"	2883	"TRABD2A"	3	0.360291966379704	1
"2:85129762-85132747"	2986	"TMSB10"	4	0.190737024444726	1
"2:85195230-85198214"	2985	"KCMF1"	3	0.307680684604234	1
"2:85357582-85360531"	2950	"TCF7L1"	4	0.336130640983302	1
"2:85555147-85558418"	3272	"TGOLN2"	1	0.80977711122216	1
"2:85581743-85581841"	99	"RETSAT"	1	0.0040196298231041	1
"2:85637493-85642471"	3506	"CAPG"	3	0.430648325115641	1
"2:85660629-85661255"	266	"SH2D6"	2	0.00228579032067325	1
"2:85763287-85766763"	3419	"MAT2A"	2	0.615938259996458	1
"2:85788632-85791631"	3000	"GGCX"	6	0.0603432772726008	1
"2:85801613-85804714"	3101	"VAMP8"	0	0.945877163446907	1
"2:85829801-85832800"	3000	"TMEM150A"	2	0.536797276570577	1
"2:85840282-85840314"	33	"C2orf68"	0	0.0308739719737968	1
"2:85840316-85843295"	2980	"USP39"	1	0.772661716561977	1
"2:85895326-85898863"	3538	"SFTPB"	5	0.113868399479196	1
"2:85918413-85921479"	3066	"GNLY"	2	0.548492930141359	1
"2:85978016-85978767"	752	"ATOH8"	1	0.158070745052068	1
"2:86116137-86119136"	3000	"ST3GAL5"	1	0.75839659025618	1
"2:86333278-86333303"	26	"POLR1A"	0	0.0263034987536841	1
"2:86422893-86423578"	686	"IMMT"	0	0.524673306496139	1
"2:86423579-86426578"	3000	"MRPL35"	2	0.658070150063859	1
"2:86564777-86567776"	3000	"REEP1"	4	0.251639795232925	1
"2:86665583-86667922"	2340	"KDM3A"	2	0.54313018208856	1
"2:87036675-87037617"	943	"CD8A"	1	0.367437743972539	1
"2:87089047-87092046"	3000	"CD8B"	5	0.215950559555263	1
"2:87134864-87144736"	3404	"RGPD1"	1	NA	NA
"2:87248975-87249040"	66	"PLGLB1"	0	NA	NA
"2:88044605-88047604"	3000	"PLGLB2"	6	NA	NA
"2:88125471-88285502"	3009	"RGPD2"	8	0.0299524496376684	1
"2:88364298-88367342"	3044	"SMYD1"	6	0.119495936813192	1
"2:88427635-88430634"	3000	"FABP1"	12	0.00132175333920611	1
"2:88469657-88469870"	214	"THNSL2"	0	0.284963649573852	1
"2:88821168-88824167"	3000	"TEX37"	7	0.0629152856433321	1
"2:88927094-88930093"	3000	"EIF2AK3"	4	0.36235466510793	1
"2:88988175-88991160"	2986	"RPIA"	7	0.026359412666941	1
"2:90458067-90458199"	133	"CH17-132F21.1"	1	NA	NA
"2:90538397-90538431"	35	"RP11-685N3.1"	0	NA	NA
"2:95534231-95537186"	2956	"TEKT4"	8	0.0998646436010543	1
"2:95688478-95691427"	2950	"MAL"	9	0.0278252969519136	1
"2:95787745-95790744"	3000	"MRPS5"	4	0.669491941490287	1
"2:95825352-95828351"	3000	"ZNF514"	7	0.125320067857165	1
"2:95828352-95831560"	3208	"ZNF2"	8	0.0349365783993723	1
"2:95937200-95940199"	3000	"PROM2"	1	0.935965223089704	1
"2:95960071-95963050"	2980	"KCNIP3"	7	0.0600178632179623	1
"2:96065470-96068469"	3000	"FAHD2A"	4	0.35738856531704	1
"2:96254765-96257764"	3000	"TRIM43"	11	0.00272027566330959	1
"2:96701722-96703726"	2005	"GPAT2"	0	0.902015180200384	1
"2:96781984-96784887"	2904	"ADRA2B"	4	0.600472195655026	1
"2:96804175-96807174"	3000	"ASTL"	0	0.943000995979628	1
"2:96811179-96814178"	3000	"DUSP2"	1	0.777159816012057	1
"2:96874556-96877555"	3000	"STARD7"	3	0.312442370678249	1
"2:96926333-96931868"	1344	"TMEM127"	3	0.0364529226062749	1
"2:96971253-96974296"	3044	"SNRNP200"	2	0.531442098917607	1
"2:96988944-96991144"	2201	"ITPRIPL1"	4	0.0534769115118748	1
"2:96998524-97001530"	3006	"NCAPH"	1	0.770194799996379	1
"2:97199485-97203080"	3523	"ARID5A"	1	0.869081316612673	1
"2:97305573-97307114"	1542	"KANSL3"	2	0.199055793984213	1
"2:97405809-97408800"	2992	"LMAN2L"	4	0.151017274175062	1
"2:97423638-97426637"	3000	"CNNM4"	4	0.136794408268356	1
"2:97478990-97481985"	2996	"CNNM3"	2	0.791010182291576	1
"2:97509771-97512757"	2987	"ANKRD23"	4	0.339266842237802	1
"2:97535708-97538707"	2994	"SEMA4C"	1	0.797652716184605	1
"2:97653966-97654110"	145	"FAM178B"	0	0.143558394064476	1
"2:97760619-97763581"	2963	"FAHD2B"	4	0.286271576012221	1
"2:98259520-98262501"	2982	"COX5B"	2	0.739299100561491	1
"2:98280570-98283560"	2991	"ACTR1B"	1	0.899427689997812	1
"2:98327030-98330021"	2992	"ZAP70"	4	0.302717931643178	1
"2:98612354-98615353"	3000	"TMEM131"	2	0.733087944097764	1
"2:98959617-98986398"	3102	"CNGA3"	5	0.266668492789925	1
"2:99058320-99061315"	2996	"INPP4A"	5	0.189030247227558	1
"2:99224955-99225040"	86	"COA5"	0	0.106683394629698	1
"2:99347589-99350588"	3000	"MGAT4A"	0	0.983389890809043	1
"2:99771380-99771416"	37	"TSGA10"	0	0.0592930894288773	1
"2:99870744-99874569"	3826	"LYG2"	4	0.574573110210514	1
"2:99952925-99953814"	890	"EIF5B"	4	0.00850540405238521	1
"2:100106497-100109479"	2983	"REV1"	3	0.588360746572154	1
"2:100721178-100725044"	3867	"AFF3"	7	0.361111882308484	1
"2:100939195-100942194"	3000	"LONRF2"	7	0.239719496884078	1
"2:101034118-101037117"	3000	"CHST10"	5	0.286971840115268	1
"2:101083943-101086942"	3000	"NMS"	9	0.0122663461625559	1
"2:101176417-101179150"	2734	"PDCL3"	4	0.320094229071958	1
"2:101433613-101436612"	3000	"NPAS2"	5	0.223039180749004	1
"2:101615690-101618175"	2486	"RPL31"	2	0.597106220993428	1
"2:101767737-101770845"	3109	"TBC1D8"	5	0.203115435872087	1
"2:101866344-101869262"	2919	"CNOT11"	5	0.0766219269109845	1
"2:101885428-101928157"	3647	"RNF149"	2	0.705837904509124	1
"2:102004057-102006964"	2908	"CREG2"	3	0.350683788648271	1
"2:102091165-102094164"	3000	"RFX8"	4	0.287226001945491	1
"2:102311205-102314204"	3000	"MAP4K4"	4	0.348876034088744	1
"2:102605305-102608304"	3000	"IL1R2"	4	0.438742745580441	1
"2:102800432-102803431"	3000	"IL1RL2"	2	0.792890918226972	1
"2:102924961-102927960"	3000	"IL1RL1"	4	0.418342521941463	1
"2:103032253-103036144"	3891	"IL18RAP"	8	0.133207647546404	1
"2:103086761-103089760"	3000	"SLC9A4"	7	0.196856535245832	1
"2:103233165-103236164"	3000	"SLC9A2"	2	0.941865629841266	1
"2:103334822-103356312"	3777	"MFSD9"	7	0.461741550096816	1
"2:103375489-103378470"	2982	"TMEM182"	5	0.560293706976155	1
"2:105468968-105471931"	2964	"POU3F3"	6	0.427552062705149	1
"2:105651482-105654439"	2958	"MRPS9"	6	0.232079546852018	1
"2:105855199-105858198"	3000	"GPR45"	7	0.0531294861491671	1
"2:105946491-105949147"	2657	"TGFBRAP1"	1	0.855310371885773	1
"2:105951012-105953814"	2803	"C2orf49"	3	0.481756045767505	1
"2:106679112-106679748"	637	"C2orf40"	2	0.109248856193367	1
"2:106810795-106813794"	3000	"UXS1"	5	0.454031571001337	1
"2:107084832-107087800"	2969	"RGPD3"	8	0.0591750024975883	1
"2:107503563-107506562"	3000	"ST6GAL2"	7	0.675874826420328	1
"2:108440387-108443391"	3004	"RGPD4"	5	0.377413227586692	1
"2:108599994-108602977"	2984	"SLC5A7"	5	0.626841386183298	1
"2:108860650-108863649"	3000	"SULT1C3"	3	0.767682411060465	1
"2:108902094-108905369"	3275	"SULT1C2"	7	NA	NA
"2:108991467-108994466"	3000	"SULT1C4"	4	0.407085981271033	1
"2:109062576-109065015"	2440	"GCC2"	2	0.639734390256202	1
"2:109201766-109202306"	541	"LIMS1"	2	0.0309629552490141	1
"2:109332936-109335935"	3000	"RANBP2"	5	0.171782031976643	1
"2:109605828-109608827"	3000	"EDAR"	6	0.206251757785771	1
"2:109742996-109745959"	2964	"SH3RF3"	2	0.744691964193559	1
"2:110371720-110374719"	2159	"SEPT10"	9	0.000219086655320369	1
"2:110547334-110551332"	3998	"RGPD5"	0	0.982423871772862	1
"2:110653008-110656003"	2996	"LIMS3"	0	NA	NA
"2:110873599-110877142"	3544	"MALL"	11	0.0135388110549006	1
"2:110962572-110965638"	3067	"NPHP1"	5	0.309568566601686	1
"2:111230393-111233392"	3000	"LIMS3L"	0	NA	NA
"2:111335310-111337677"	2368	"RGPD6"	0	0.967024011115078	1
"2:111435691-111438683"	2993	"BUB1"	3	0.550436075136578	1
"2:111487149-111490148"	3000	"ACOXL"	4	0.312802158406262	1
"2:111875490-111878504"	3014	"BCL2L11"	5	0.18925715102025	1
"2:112642267-112644740"	2474	"ANAPC1"	1	NA	NA
"2:112653190-112656054"	2865	"MERTK"	6	0.178139736919446	1
"2:112809799-112812798"	3000	"TMEM87B"	3	0.496429081267651	1
"2:112892961-112896001"	3040	"FBLN7"	1	0.899307328936671	1
"2:113012688-113015663"	2976	"ZC3H8"	5	0.16006022007723	1
"2:113030177-113033169"	2993	"ZC3H6"	2	0.691766870009021	1
"2:113192065-113194221"	2157	"RGPD8"	5	0.0652642187273104	1
"2:113236742-113239729"	2988	"TTL"	3	0.496321827512404	1
"2:113297041-113300040"	2922	"POLR1B"	2	0.869416822002634	1
"2:113341106-113341246"	141	"CHCHD5"	0	0.124761916241553	1
"2:113400433-113403432"	3000	"SLC20A1"	3	0.274002949916853	1
"2:113476062-113479061"	3000	"NT5DC4"	5	0.0644834856957717	1
"2:113522254-113525253"	3000	"CKAP2L"	1	0.75721007077514	1
"2:113542167-113545166"	3000	"IL1A"	5	0.0657809352843943	1
"2:113594480-113597355"	2876	"IL1B"	3	0.49346339016459	1
"2:113667547-113670546"	3000	"IL37"	1	0.811097458935328	1
"2:113732605-113735604"	3000	"IL36G"	2	0.655464331302358	1
"2:113760448-113763036"	2589	"IL36A"	3	0.590273645197951	1
"2:113810444-113813213"	2770	"IL36B"	4	0.419461615399411	1
"2:113813214-113816213"	2756	"IL36RN"	10	0.0189206525973028	1
"2:113825325-113825545"	221	"IL1F10"	0	0.239984550451111	1
"2:113872469-113875468"	172	"IL1RN"	0	0.195718516687518	1
"2:113928559-113931572"	3013	"PSD4"	4	0.299860104179056	1
"2:114036527-114039497"	2971	"PAX8"	3	0.447749365915038	1
"2:114192267-114195266"	3000	"CBWD2"	3	0.557334080250006	1
"2:114253766-114256659"	2894	"FOXD4L1"	4	0.3792130811652	1
"2:114381816-114384804"	2989	"RABL2A"	1	0.927461581755472	1
"2:114514400-114517399"	3000	"SLC35F5"	2	0.797205326579791	1
"2:114644536-114647535"	3000	"ACTR3"	2	0.787598175535806	1
"2:115916512-115919177"	2666	"DPP10"	3	0.868421513826341	1
"2:118569254-118572224"	2971	"DDX18"	11	0.0506665720642807	1
"2:118774481-118774708"	228	"CCDC93"	0	0.317600312370061	1
"2:118843049-118846048"	3000	"INSIG2"	5	0.557851283626388	1
"2:119605254-119608253"	3000	"EN1"	9	0.225619197995523	1
"2:119696744-119699740"	2997	"MARCO"	15	0.000206857050587982	1
"2:119916465-119919464"	3000	"C1QL2"	2	0.831591688515948	1
"2:119978383-119981382"	3000	"STEAP3"	7	0.265151202397694	1
"2:120122252-120125251"	2395	"DBI"	3	0.359429830563617	1
"2:120186445-120187475"	1031	"TMEM37"	0	0.707459185519668	1
"2:120282070-120285027"	2958	"SCTR"	8	0.0301559473138967	1
"2:120299024-120302045"	3021	"PCDP1"	7	0.0463861698857775	1
"2:120433742-120436777"	3035	"TMEM177"	5	0.17072786661475	1
"2:120514206-120514527"	322	"PTPN4"	0	0.33308537510803	1
"2:120767603-120770693"	3090	"EPB41L5"	4	0.512761875184409	1
"2:120980984-120983983"	3000	"TMEM185B"	4	0.300833884983877	1
"2:120996275-121010332"	3211	"RALB"	2	0.709638072850514	1
"2:121100718-121103717"	3000	"INHBB"	1	0.881327019522679	1
"2:122042783-122045777"	2995	"TFCP2L1"	3	0.606066012605686	1
"2:122407163-122410051"	2889	"CLASP1"	5	0.225485314414968	1
"2:122494499-122497498"	2854	"MKI67IP"	8	NA	NA
"2:122510120-122513745"	3519	"TSN"	6	0.13283801668001	1
"2:124779863-124782862"	3000	"CNTNAP5"	17	0.00353587697812292	1
"2:127410683-127413507"	2825	"GYPC"	6	0.287462766669008	1
"2:127656465-127656489"	25	"AC114783.1"	0	0.0305716593603356	1
"2:127864931-127867902"	2972	"BIN1"	4	0.326106526697706	1
"2:128051752-128054751"	3000	"ERCC3"	3	0.553822835779394	1
"2:128146388-128147624"	473	"MAP3K2"	0	0.36353430284006	1
"2:128173002-128176001"	3000	"PROC"	2	0.537424668303215	1
"2:128260340-128287057"	3909	"IWS1"	6	0.155300250198891	1
"2:128290377-128317264"	3119	"MYO7B"	6	0.158787410108962	1
"2:128407557-128425119"	3658	"LIMS2"	2	0.649733855175552	1
"2:128455596-128458593"	2998	"SFT2D3"	2	0.537091712275787	1
"2:128568721-128571744"	3024	"WDR33"	1	0.763420951927392	1
"2:128615714-128618728"	3015	"POLR2D"	1	0.770962276986828	1
"2:128785694-128787868"	2175	"SAP130"	2	0.321567213869029	1
"2:128845781-128848883"	3102	"UGGT1"	3	0.516791405239228	1
"2:129076046-129079150"	3105	"HS6ST1"	3	0.593716926226502	1
"2:130734234-130737233"	3000	"RAB6C"	1	0.944431993783221	1
"2:130886795-130889794"	3000	"POTEF"	5	0.292923784497885	1
"2:130936829-130939825"	2738	"MZT2B"	0	0.973653811484986	1
"2:130956034-130959033"	3000	"TUBA3E"	9	0.00584616538078417	1
"2:131110579-131113578"	3000	"PTPN18"	2	0.751722639214358	1
"2:131275769-131278768"	3000	"CFC1B"	0	0.983998564026744	1
"2:131357123-131360122"	3000	"CFC1"	2	0.540123020078047	1
"2:131368989-131369052"	64	"POTEJ"	0	0.0580637691053403	1
"2:131483642-131486641"	3000	"GPR148"	3	0.479770403616726	1
"2:131671223-131674222"	2532	"ARHGEF4"	0	0.916104612711411	1
"2:131859419-131862418"	3000	"PLEKHB2"	1	0.789873786671316	1
"2:132230665-132233664"	3000	"TUBA3D"	9	0.180082945034562	1
"2:132250133-132253063"	2931	"MZT2A"	14	0.300456955783019	1
"2:133171146-133174145"	3000	"GPR39"	4	0.682798022097901	1
"2:133427778-133430777"	2998	"LYPD1"	5	0.481751098641978	1
"2:134326031-134329030"	3000	"NCKAP5"	3	0.707329178606256	1
"2:135476570-135479569"	3000	"TMEM163"	6	0.180161490524893	1
"2:135593185-135596115"	2931	"ACMSD"	5	0.227694524276702	1
"2:135673391-135676390"	2999	"CCNT2"	3	0.547028044575438	1
"2:135782248-135808012"	4179	"MAP3K19"	6	0.243722801786765	1
"2:135808013-135809833"	1821	"RAB3GAP1"	3	0.198904753604535	1
"2:136288806-136291805"	3000	"ZRANB3"	4	0.410848713258414	1
"2:136496188-136499187"	3000	"UBXN4"	5	0.318268034794403	1
"2:136594750-136597193"	2444	"LCT"	5	0.0817489633395125	1
"2:136633996-136636995"	3000	"MCM6"	4	0.315199214935607	1
"2:136743254-136746221"	2968	"DARS"	2	0.707283799266142	1
"2:136874726-136878724"	3999	"CXCR4"	7	0.155531550406728	1
"2:138718807-138721588"	2782	"HNMT"	4	0.434719903255056	1
"2:139256370-139259369"	3000	"SPOPL"	5	0.382887307610718	1
"2:139537918-139540810"	2893	"NXPH2"	6	0.415046379999928	1
"2:142889270-142892269"	3000	"LRP1B"	9	0.227337851813287	1
"2:143632194-143635233"	3039	"KYNU"	3	0.518278042568668	1
"2:143846168-143886881"	3179	"ARHGAP15"	5	0.353444388330815	1
"2:145090083-145093082"	3000	"GTDC1"	5	0.370666859145015	1
"2:145278621-145280957"	2337	"ZEB2"	8	0.0111713241556451	1
"2:148599569-148602084"	2516	"ACVR2A"	3	0.745093193761444	1
"2:149399559-149402566"	3007	"EPC2"	4	0.69229754439516	1
"2:149629818-149632817"	3000	"KIF5C"	9	0.253453031282575	1
"2:149891980-149894979"	3000	"LYPD6B"	1	0.96677473162098	1
"2:150183498-150186497"	3000	"LYPD6"	2	0.887860205201357	1
"2:150444330-150447329"	3000	"MMADHC"	0	0.991693752266169	1
"2:151344208-151347207"	3000	"RND3"	4	0.439852609106694	1
"2:152118393-152121388"	2996	"RBM43"	3	0.657619002254044	1
"2:152146571-152149429"	2859	"NMI"	3	0.615910723859989	1
"2:152211105-152214104"	3000	"TNFAIP6"	2	0.792747779688502	1
"2:152263396-152266395"	3000	"RIF1"	4	0.426626147870993	1
"2:152589670-152594000"	4169	"NEB"	4	0.729799358729304	1
"2:152684979-152688001"	3023	"ARL5A"	0	0.98865455572714	1
"2:152955537-152958592"	3056	"CACNB4"	2	0.770034556056871	1
"2:153032506-153035505"	3000	"STAM2"	3	0.499955408526794	1
"2:153188750-153476066"	3617	"FMNL2"	6	0.160424861175749	1
"2:154335322-154338321"	3000	"RPRM"	6	0.339863489670837	1
"2:154725425-154728424"	3000	"GALNT13"	13	0.127163460824529	1
"2:155552092-155554809"	2718	"KCNJ3"	12	0.0133140228699867	1
"2:157289899-157291951"	2053	"GPD2"	1	0.75968966775997	1
"2:158111339-158114108"	2770	"GALNT5"	4	0.464052110977728	1
"2:158183147-158187145"	3920	"ERMN"	10	0.121388516221385	1
"2:158300654-158303603"	2950	"CYTIP"	6	0.263101452249105	1
"2:158485517-158488398"	2882	"ACVR1C"	1	0.975134471782575	1
"2:158732374-158735373"	3000	"ACVR1"	2	0.932744673338707	1
"2:159310623-159313622"	2919	"PKP4"	3	0.657628775706195	1
"2:159648828-159651827"	3000	"DAPL1"	5	0.159790744960029	1
"2:159822145-159825181"	3036	"TANC1"	4	0.224111429536632	1
"2:160143180-160146235"	3056	"WDSUB1"	3	0.449585864140452	1
"2:160473203-160476111"	2909	"BAZ2B"	4	0.246350029067476	1
"2:160566009-160568998"	2990	"MARCH7"	3	0.479648374782723	1
"2:160761221-160764220"	3000	"LY75-CD302"	0	0.980786182949357	1
"2:160764221-160764259"	39	"LY75"	0	0.0454214435185548	1
"2:160919121-160922120"	3000	"PLA2R1"	1	0.88719037369029	1
"2:161056769-161059588"	2820	"ITGB6"	2	0.636341175663949	1
"2:161350305-161353304"	3000	"RBMS1"	7	0.0236958684139791	1
"2:161990465-161993417"	2953	"TANK"	4	0.272402768002593	1
"2:162161785-162164547"	2763	"PSMD14"	3	0.591660528636554	1
"2:162269619-162272603"	2985	"TBR1"	7	0.0522364912045892	1
"2:162477844-162480934"	3089	"SLC4A10"	7	0.11851551408701	1
"2:162931052-162934051"	3000	"DPP4"	10	0.0300597048190028	1
"2:163008913-163011913"	3001	"GCG"	7	0.0728344063092422	1
"2:163100045-163103044"	3000	"FAP"	7	0.086132941843567	1
"2:163174040-163175542"	1494	"GCA"	4	0.119031192384343	1
"2:163695128-163698239"	3112	"KCNH7"	15	0.00110646744363354	1
"2:164592517-164595512"	2996	"FIGN"	7	0.411616297946381	1
"2:165478358-165481357"	3000	"GRB14"	7	0.278649643591602	1
"2:165811996-165815034"	3039	"SLC38A11"	0	0.981565946704916	1
"2:166060553-166063576"	3024	"SCN3A"	8	0.221753185880649	1
"2:166095834-166095910"	77	"SCN2A"	0	0.143428483219655	1
"2:166425848-166429843"	3995	"CSRNP3"	6	0.788729261974179	1
"2:166651192-166653802"	2611	"GALNT3"	10	0.0143946365310497	1
"2:166810353-166813347"	2995	"TTC21B"	1	0.983547474253673	1
"2:166930131-166933148"	3018	"SCN1A"	7	0.138965550356735	1
"2:167232503-167235496"	2994	"SCN9A"	3	0.840234125021494	1
"2:167343478-167346477"	3000	"SCN7A"	11	0.104578565569098	1
"2:167741996-167744995"	3000	"XIRP2"	10	0.105192858847631	1
"2:168672181-168675180"	3000	"B3GALT1"	10	0.483427970488767	1
"2:169104651-169107104"	2454	"STK39"	3	0.86210621089472	1
"2:169309834-169312370"	2537	"CERS6"	4	0.51957277047704	1
"2:169746955-169749943"	2989	"SPC25"	3	0.759091728935636	1
"2:169754749-169757748"	3000	"G6PC2"	6	0.232123706513603	1
"2:169887832-169890831"	3000	"ABCB11"	9	0.0206495372870971	1
"2:170219044-170222121"	3078	"LRP2"	4	0.472262626739865	1
"2:170335918-170335988"	71	"RP11-724O16.1"	0	0.0867532393143203	1
"2:170430383-170433382"	3000	"FASTKD1"	5	0.296554080167147	1
"2:170437849-170440848"	3000	"PPIG"	3	0.455474083737621	1
"2:170550943-170550973"	31	"CCDC173"	0	0.0353711197671655	1
"2:170652321-170655320"	3000	"SSB"	2	0.677770754801891	1
"2:170681324-170684323"	2836	"METTL5"	4	0.23157176031213	1
"2:171031654-171034653"	3000	"MYO3B"	7	0.185679259648277	1
"2:171568860-171568958"	99	"SP5"	0	0.133443584836792	1
"2:171571077-171571859"	783	"AC007405.2"	4	0.0246348239621299	1
"2:171638712-171638972"	261	"ERICH2"	0	0.315228452006014	1
"2:171670199-171673070"	2872	"GAD1"	3	0.529475867192033	1
"2:171782035-171785034"	3000	"GORASP2"	2	0.710444911747523	1
"2:172087824-172090823"	3000	"TLK1"	4	0.248057464132722	1
"2:172290596-172293595"	2932	"METTL8"	1	0.785887788980758	1
"2:172375865-172378856"	2992	"CYBRD1"	3	0.357446592357086	1
"2:172540981-172543917"	2937	"DYNC1I2"	4	0.244714889846366	1
"2:172750762-172753761"	3000	"SLC25A12"	1	0.833113328093917	1
"2:172775974-172778973"	3000	"HAT1"	4	0.139486362327626	1
"2:172861803-172864488"	2686	"METAP1D"	1	0.724340524577805	1
"2:172947207-172949092"	1886	"DLX1"	3	0.0980004101042988	1
"2:172967628-172970477"	2850	"DLX2"	6	0.0164579058158713	1
"2:173289313-173292281"	2969	"ITGA6"	2	0.654086571884094	1
"2:173417778-173420695"	2918	"PDK1"	6	0.132655341440338	1
"2:173597524-173600567"	3043	"RAPGEF4"	5	0.110013723542301	1
"2:173937564-173940440"	2877	"MLTK"	7	0.034351370750937	1
"2:174216560-174219546"	2987	"CDCA7"	5	0.152784173312653	1
"2:174830430-174833429"	3000	"SP3"	1	0.89521050287782	1
"2:175113088-175116364"	3277	"OLA1"	2	0.754149508053725	1
"2:175196673-175199672"	3000	"SP9"	6	0.181820418833015	1
"2:175260443-175260465"	23	"SCRN3"	0	0.0288176773969714	1
"2:175351822-175354810"	2989	"GPR155"	5	0.151134918927587	1
"2:175463856-175465493"	718	"WIPF1"	2	0.0563923440083773	1
"2:175629140-175632199"	3060	"CHRNA1"	7	0.0877054804778385	1
"2:175869954-175872980"	3027	"CHN1"	4	0.42514109171891	1
"2:176032934-176035896"	2963	"ATF2"	3	0.686082107631787	1
"2:176049335-176049390"	56	"ATP5G3"	0	NA	NA
"2:176867073-176870017"	2945	"KIAA1715"	7	NA	NA
"2:176948641-176951640"	3000	"EVX2"	10	0.0443325863635991	1
"2:176954618-176957595"	2978	"HOXD13"	3	0.743213436173067	1
"2:176963666-176964456"	791	"HOXD12"	2	0.154313396180287	1
"2:176991467-176994420"	2954	"HOXD8"	6	0.229636736874935	1
"2:177013112-177015120"	2009	"HOXD3"	3	0.453708705665976	1
"2:177050306-177053305"	3000	"HOXD1"	5	0.632476264710978	1
"2:177131146-177134145"	3000	"MTX2"	5	0.650663854006474	1
"2:178074421-178077289"	2869	"HNRNPA3"	1	0.75687684056697	1
"2:178128860-178131299"	2337	"NFE2L2"	4	0.0727829041740042	1
"2:178254470-178257370"	2901	"AGPS"	4	0.20204198212748	1
"2:178417742-178420523"	2782	"TTC30B"	5	0.111990928248757	1
"2:178483694-178486693"	3000	"TTC30A"	4	0.310522652414955	1
"2:178937482-178940481"	3000	"PDE11A"	4	0.365002812101677	1
"2:178974181-178977180"	3000	"RBM45"	5	0.262433468587531	1
"2:179056207-179059206"	3000	"OSBPL6"	6	0.125294252689791	1
"2:179315958-179316161"	204	"PRKRA"	1	0.030629345022821	1
"2:179342198-179345193"	2923	"PLEKHA3"	3	0.462415275567869	1
"2:179672150-179675149"	3000	"TTN"	12	0.0253950891464133	1
"2:179710469-179917785"	3080	"CCDC141"	4	0.637459098445659	1
"2:180129517-180132349"	2833	"SESTD1"	4	0.528761700927228	1
"2:180726232-180729231"	2971	"ZNF385B"	3	0.807337714656023	1
"2:180871780-180874779"	3000	"CWC22"	21	0.0330898209986314	1
"2:181842111-181845098"	2988	"UBE2E3"	3	0.725106746270097	1
"2:182318933-182321932"	3000	"ITGA4"	3	0.652393909495167	1
"2:182521733-182524833"	3076	"CERKL"	10	0.0128348309501351	1
"2:182545603-182548391"	2789	"NEUROD1"	2	0.684948954975297	1
"2:182753614-182774730"	3138	"SSFA2"	1	0.872980911364468	1
"2:182847594-182850602"	3008	"PPP1R1C"	8	0.0780641707483748	1
