"SID"	"window"	"n"	"N"	"gene"	"k"	"pValue"	"qValue"
"6:6586817-6586907"	91	3	91	"LY86"	2	0.00685	0.9971
"6:12287919-12287980"	62	8	62	"EDN1"	8	3.006e-14	3.496e-11
"6:16128533-16128588"	56	4	56	"MYLIP"	4	1.125e-06	0.001119
"6:24666857-24666932"	76	3	76	"ACOT13"	3	0.0004108	0.2255
"6:26158050-26158113"	64	3	64	"HIST1H2BD"	3	0.002574	0.7156
"6:26286814-26286879"	66	4	66	"HIST1H4H"	4	2.049e-05	0.01801
"6:27355604-27355702"	99	3	99	"ZNF391"	3	0.005961	0.962
"6:27775769-27775870"	102	3	102	"HIST1H2AI"	3	0.0004643	0.2459
"6:28191179-28191252"	74	3	74	"ZSCAN9"	3	0.003415	0.8298
"6:28484857-28484955"	99	3	99	"GPX6"	3	0.01169	1
"6:28490838-28490940"	103	3	103	"GPX5"	3	0.008158	1
"6:30129321-30129430"	110	3	110	"TRIM10"	3	0.001637	0.5468
"6:30900371-30900421"	51	4	51	"SFTA2"	4	1.357e-06	0.001343
"6:32498705-32498838"	134	4	134	"HLA-DRB5"	4	2.429e-05	0.02108
"6:32602281-32602397"	117	4	117	"HLA-DQA1"	3	0.008197	1
"6:32603003-32603064"	62	3	62	"HLA-DQA1"	2	0.03805	1
"6:32636577-32636671"	95	4	95	"HLA-DQB1"	3	0.004636	0.9025
"6:32706391-32706478"	88	3	88	"HLA-DQA2"	2	0.003281	0.8038
"6:33586519-33586571"	53	7	53	"ITPR3"	6	6.995e-11	7.883e-08
"6:36561992-36562093"	102	3	102	"SRSF3"	2	0.09271	1
"6:37665912-37666045"	134	5	134	"MDGA1"	3	0.01662	1
"6:43656531-43656621"	91	3	91	"MRPS18A"	2	0.005938	0.962
"6:46094845-46094949"	105	4	105	"ENPP4"	3	0.001554	0.5315
"6:49714279-49714387"	109	3	109	"CRISP3"	3	0.0009034	0.378
"6:52628418-52628479"	62	5	62	"GSTA2"	3	2.834e-05	0.02415
"6:52669301-52669381"	81	7	81	"GSTA1"	6	8.279e-10	9.14e-07
"6:55191803-55191928"	126	3	126	"GFRAL"	3	0.002098	0.636
"6:55445249-55445344"	96	3	96	"HMGCLL1"	3	0.00291	0.7582
"6:71668728-71668859"	132	4	132	"B3GAT2"	4	2.77e-05	0.02368
"6:78173702-78173775"	74	3	74	"HTR1B"	3	0.00128	0.4749
"6:80816294-80816370"	77	3	70	"BCKDHB"	3	0.0007579	0.3342
"6:86157616-86157705"	90	3	90	"NT5E"	2	0.003036	0.7772
"6:96462181-96462286"	106	3	106	"FUT9"	3	0.0001387	0.09612
"6:97286947-97287018"	72	6	72	"GPR63"	6	4.728e-10	5.258e-07
"6:97287905-97288023"	119	4	119	"GPR63"	3	0.003968	0.8492
"6:100051857-100051986"	130	3	130	"PRDM13"	3	0.002562	0.7148
"6:101844094-101844145"	52	3	52	"GRIK2"	2	0.0004583	0.2434
"6:105628979-105629097"	119	3	119	"POPDC3"	3	0.0001886	0.1245
"6:109415796-109415869"	74	3	74	"CEP57L1"	3	0.0003224	0.1902
"6:110299025-110299126"	102	3	102	"GPR6"	3	0.0001782	0.1194
"6:110299780-110299889"	110	3	110	"GPR6"	3	0.0003761	0.2129
"6:110501207-110501345"	139	3	136	"CDC40"	3	0.005545	0.9482
"6:116937261-116937311"	51	3	51	"RSPH4A"	3	3.396e-05	0.02836
"6:116990007-116990059"	53	5	53	"ZUFSP"	5	1.16e-08	1.25e-05
"6:122720524-122720595"	72	4	72	"HSF2"	3	0.0004962	0.2557
"6:122792960-122793071"	112	3	104	"SERINC1"	3	0.002312	0.6739
"6:130184534-130184625"	92	3	92	"TMEM244"	3	0.0002321	0.1478
"6:131387034-131387128"	95	3	95	"EPB41L2"	2	0.008965	1
"6:131894171-131894228"	58	6	58	"ARG1"	3	7.701e-05	0.0576
"6:132834889-132835014"	126	3	126	"STX7"	3	0.000419	0.2288
"6:132836738-132836830"	93	3	93	"STX7"	3	8.714e-05	0.0644
"6:132946522-132946610"	89	3	89	"TAAR2"	3	0.00059	0.2867
"6:132968713-132968790"	78	3	78	"TAAR1"	2	0.02055	1
"6:133079133-133079229"	97	3	82	"VNN2"	3	0.0004093	0.2251
"6:135375966-135376083"	118	3	93	"HBS1L"	2	0.1185	1
"6:135376354-135376444"	91	5	91	"HBS1L"	3	0.006002	0.962
"6:146348067-146348132"	66	3	66	"GRM1"	3	2.827e-05	0.02411
"6:146863380-146863436"	57	5	57	"RAB32"	5	5.211e-09	5.67e-06
"6:153017096-153017199"	104	3	104	"MYCT1"	3	0.00682	0.9971
"6:153069380-153069458"	79	3	79	"VIP"	3	0.0006296	0.2963
"6:166077789-166077930"	142	4	142	"PDE10A"	3	0.02154	1
"6:167799373-167799508"	136	4	136	"TCP10"	4	3.595e-05	0.02987
"6:167800433-167800487"	55	5	55	"TCP10"	5	6.713e-08	7.049e-05
"7:995439-995499"	61	4	61	"ADAP1"	4	9.518e-07	0.0009508
"7:4925886-4925957"	72	3	72	"RADIL"	2	0.000591	0.2867
"7:6489212-6489263"	52	3	52	"DAGLB"	3	4.75e-05	0.03805
"7:6866876-6866926"	51	4	51	"CCZ1B"	4	4.473e-07	0.000454
"7:10980596-10980655"	60	4	60	"NDUFA4"	4	5.406e-08	5.703e-05
"7:15728059-15728119"	61	3	61	"MEOX2"	3	0.0002403	0.1514
"7:18535633-18535716"	84	3	84	"HDAC9"	2	0.02424	1
"7:23284305-23284441"	137	3	137	"GPNMB"	3	0.006462	0.9887
"7:27703383-27703452"	70	3	70	"HIBADH"	2	0.00342	0.8298
"7:33168206-33168257"	52	3	52	"BBS9"	3	1.238e-05	0.0113
"7:35296083-35296153"	71	3	71	"TBX20"	3	9.786e-05	0.07114
"7:36190541-36190597"	57	4	57	"EEPD1"	4	2.649e-06	0.002572
"7:37886589-37886670"	82	3	82	"NME8"	3	0.0006312	0.2963
"7:38216240-38216309"	70	3	70	"STARD3NL"	3	0.001365	0.4996
"7:39988057-39988147"	91	3	91	"CDK13"	3	0.0007143	0.3241
"7:50132902-50133003"	102	3	102	"ZPBP"	2	0.01269	1
"7:50629353-50629444"	92	3	92	"DDC"	2	0.007374	1
"7:55431212-55431337"	126	3	126	"LANCL2"	3	0.001174	0.4532
"7:57207979-57208055"	77	3	77	"ZNF479"	3	0.0002874	0.1733
"7:57209018-57209159"	142	3	142	"ZNF479"	3	0.0009027	0.378
"7:57507946-57508045"	100	3	100	"ZNF716"	3	0.0005023	0.2572
"7:57509670-57509743"	74	3	74	"ZNF716"	3	0.0003498	0.2008
"7:63505197-63505367"	171	6	171	"ZNF727"	6	4.047e-06	0.003857
"7:63686123-63686177"	55	3	55	"ZNF679"	2	0.01705	1
"7:63686770-63686888"	119	4	119	"ZNF679"	4	7.172e-06	0.006699
"7:63688670-63688767"	98	3	98	"ZNF679"	3	0.0005077	0.2589
"7:70596291-70596360"	70	3	70	"WBSCR17"	3	0.0009697	0.3956
"7:73586062-73586156"	95	3	95	"EIF4H"	3	9.859e-05	0.07158
"7:86271386-86271438"	53	3	53	"GRM3"	2	0.0008908	0.3775
"7:93204758-93204834"	77	4	77	"CALCR"	4	0.0002432	0.1522
"7:94536650-94536728"	79	3	79	"PPP1R9A"	3	0.0005604	0.278
"7:99150662-99150745"	84	3	84	"FAM200A"	3	3.081e-05	0.02594
"7:99816182-99816310"	129	4	129	"PVRIG"	3	0.01544	1
"7:100270939-100271037"	99	3	99	"GNB2"	3	0.001434	0.5091
"7:100549234-100549321"	88	4	88	"MUC3A"	4	4.097e-05	0.03348
"7:100811265-100811322"	58	3	58	"VGF"	3	2.693e-05	0.02308
"7:102119462-102119574"	113	4	113	"POLR2J"	4	3.5e-06	0.003356
"7:102314626-102314676"	51	3	51	"POLR2J2"	3	5.989e-05	0.04635
"7:102314737-102314796"	60	3	60	"POLR2J2"	3	1.632e-05	0.01464
"7:102314802-102314869"	68	5	68	"POLR2J2"	5	1.976e-08	2.116e-05
"7:107203923-107204019"	97	3	97	"DUS4L"	3	0.0002341	0.1489
"7:108525703-108525761"	59	3	59	"C7orf66"	2	0.001485	0.5212
"7:111846561-111846635"	75	3	75	"DOCK4"	3	0.002341	0.6789
"7:114559676-114559745"	70	3	70	"MDFIC"	3	0.0007703	0.3374
"7:120627796-120627883"	88	3	88	"CPED1"	3	0.001134	0.4457
"7:123562829-123562902"	74	3	74	"SPAM1"	2	0.002029	0.6249
"7:124572612-124572761"	150	4	150	"POT1"	4	6.303e-05	0.04834
"7:128093537-128093587"	51	3	51	"HILPDA"	3	9.938e-06	0.009193
"7:132264161-132264249"	89	3	89	"PLXNA4"	3	0.006198	0.9682
"7:139527117-139527215"	99	3	99	"TBXAS1"	2	0.009058	1
"7:140715883-140715934"	52	10	52	"MRPS33"	10	1.875e-18	2.211e-15
"7:141543179-141543324"	146	3	146	"PRSS37"	3	0.002905	0.7582
"7:141957868-141958003"	136	5	125	"PRSS58"	4	0.0001009	0.07295
"7:142455413-142455526"	114	3	114	"PRSS1"	3	0.0002681	0.1633
"7:142456631-142456693"	63	3	63	"PRSS1"	3	0.00019	0.1252
"7:143630009-143630064"	56	4	56	"OR2F2"	4	1.668e-06	0.001628
"7:143699749-143699826"	78	3	78	"OR6B1"	3	0.00213	0.6411
"7:144013298-144013404"	107	3	107	"OR2A1"	3	0.0002362	0.1498
"7:145811374-145811492"	119	3	119	"CNTNAP2"	3	0.0004922	0.2557
"7:150209783-150209873"	91	3	91	"GIMAP7"	2	0.08672	1
"7:150210352-150210423"	72	3	72	"GIMAP7"	3	4.76e-05	0.03808
"7:150675961-150676017"	57	4	57	"KCNH2"	4	2.876e-07	0.0002948
"7:152373268-152373401"	134	6	134	"XRCC2"	6	5.604e-07	0.0005682
"7:153748045-153748181"	137	5	137	"DPP6"	5	1.508e-05	0.01362
"7:155248949-155249046"	98	3	98	"EN2"	2	0.01445	1
"7:156685936-156686042"	107	3	107	"LMBR1"	3	0.003212	0.803
"8:1446581-1446652"	72	3	72	"DLGAP2"	2	0.008787	1
"8:6736070-6736234"	165	4	165	"DEFB1"	4	0.0001507	0.1034
"8:7782870-7782941"	72	3	72	"ZNF705B"	2	0.004763	0.9055
"8:13421897-13421967"	71	3	71	"C8orf48"	3	7.377e-05	0.05543
"8:22101690-22101752"	63	7	63	"POLR3D"	7	2.17e-12	2.493e-09
"8:23566041-23566119"	79	3	79	"NKX2-6"	3	0.00124	0.4665
"8:26724409-26724488"	80	3	80	"ADRA1A"	3	0.0003031	0.1806
"8:26724924-26724997"	74	6	74	"ADRA1A"	5	1.217e-08	1.311e-05
"8:28243972-28244029"	58	3	46	"ZNF395"	3	0.001549	0.5313
"8:30518642-30518710"	69	3	69	"GTF2E2"	3	0.0001025	0.074
"8:38830277-38830327"	51	3	51	"HTRA4"	3	5.571e-05	0.04407
"8:39442014-39442091"	78	3	78	"ADAM18"	3	0.001225	0.4651
"8:55047681-55047767"	87	3	87	"MRPL15"	2	0.07953	1
"8:57361168-57361222"	55	4	55	"PENK"	3	1.007e-05	0.009305
"8:61194521-61194619"	99	3	99	"CA8"	3	0.005387	0.9397
"8:61196329-61196425"	97	3	97	"CA8"	2	0.01353	1
"8:66930948-66930998"	51	3	51	"DNAJC5B"	3	4.726e-05	0.0379
"8:67404581-67404675"	95	4	95	"C8orf46"	3	0.0001397	0.09667
"8:67579553-67579682"	130	3	130	"VCPIP1"	3	0.001465	0.5157
"8:86375430-86375560"	131	3	131	"CA2"	2	0.1433	1
"8:87524020-87524070"	51	5	51	"CPNE3"	5	1.723e-07	0.0001785
"8:87757286-87757337"	52	3	52	"CNGB3"	3	0.001275	0.4743
"8:91096421-91096543"	123	3	123	"CALB1"	3	0.0004518	0.2422
"8:97272069-97272168"	100	3	100	"MTERFD1"	3	0.0003473	0.2
"8:101158656-101158764"	109	3	109	"FBXO43"	3	0.0007631	0.335
"8:103425674-103425737"	64	3	64	"UBR5"	3	0.0002642	0.162
"8:103426899-103427006"	108	3	108	"UBR5"	2	0.006609	0.9903
"8:105601522-105601678"	157	5	157	"RP11-127H5.1"	5	1.995e-05	0.0176
"8:109802123-109802228"	106	3	106	"TMEM74"	3	0.0003315	0.1935
"8:110373916-110374004"	89	3	89	"PKHD1L1"	3	0.001066	0.4243
"8:117887086-117887165"	80	3	60	"RAD21"	3	0.0001078	0.0774
"8:124428777-124428923"	147	3	147	"ATAD2"	3	0.003682	0.8324
"8:133774688-133774764"	77	11	77	"TMEM71"	11	5.618e-21	6.663e-18
"8:135726337-135726388"	52	4	52	"ZFAT"	4	9.108e-07	0.0009117
"8:143780231-143780301"	71	3	71	"LY6K"	3	0.0005819	0.2857
"8:143835309-143835392"	84	3	84	"LYPD2"	3	0.007874	1
"8:144623676-144623753"	78	3	78	"ZC3H3"	3	0.001745	0.5689
"8:144679613-144679674"	62	4	62	"EEF1D"	3	0.0003213	0.1899
"8:144795852-144795955"	104	3	104	"MAPK15"	3	0.0009141	0.3794
"8:144923382-144923461"	80	3	80	"NRBP2"	3	0.0002342	0.1489
"8:145562727-145562812"	86	3	86	"SCRT1"	3	0.0001987	0.1298
"9:840697-840749"	53	4	53	"DMRT1"	3	0.0002022	0.1316
"9:5889819-5889893"	75	3	75	"MLANA"	2	0.001938	0.6066
"9:5890557-5890607"	51	4	51	"MLANA"	4	1.077e-06	0.001073
"9:21799832-21799918"	87	3	87	"MTAP"	2	0.006624	0.9903
"9:32637783-32637925"	143	4	143	"TAF1L"	4	6.308e-05	0.04834
"9:34955303-34955354"	52	4	52	"KIAA1045"	4	1.052e-06	0.00105
"9:35959270-35959320"	51	3	51	"OR2S2"	3	4.605e-05	0.03712
"9:37420125-37420178"	54	10	54	"GRHPR"	10	2.355e-20	2.788e-17
"9:37422499-37422549"	51	3	51	"GRHPR"	3	0.0001337	0.09306
"9:37485822-37485903"	82	3	82	"POLR1E"	3	0.00011	0.07887
"9:38426423-38426480"	58	4	58	"IGFBPL1"	4	7.15e-07	0.0007214
"9:70916471-70916572"	102	3	102	"FOXD4L3"	3	0.0005274	0.2674
"9:70971470-70971540"	71	4	71	"PGM5"	3	0.0002441	0.1526
"9:70971671-70971792"	122	5	122	"PGM5"	4	0.0001247	0.08766
"9:74981952-74982053"	102	3	102	"ZFAND5"	3	0.001416	0.5075
"9:79522780-79522833"	54	3	54	"PRUNE2"	3	3.673e-05	0.03049
"9:82186525-82186603"	79	3	79	"TLE4"	3	0.0002423	0.1522
"9:84304545-84304621"	77	5	77	"TLE1"	4	3.426e-06	0.003296
"9:93407833-93407937"	105	3	105	"DIRAS2"	2	0.09615	1
"9:95528835-95528950"	116	3	116	"BICD2"	3	0.002039	0.626
"9:99147155-99147207"	53	4	53	"SLC35D2"	2	0.01255	1
"9:99209534-99209590"	57	6	57	"HABP4"	6	7.086e-11	7.979e-08
"9:99540786-99540838"	53	3	53	"ZNF510"	3	0.000185	0.123
"9:99616810-99616879"	70	3	70	"ZNF782"	3	8.336e-05	0.06185
"9:99617179-99617229"	51	3	51	"ZNF782"	3	1.3e-05	0.01184
"9:100686093-100686143"	51	3	51	"C9orf156"	3	2.752e-05	0.02356
"9:100882055-100882125"	71	4	71	"TRIM14"	3	0.0001917	0.1261
"9:104501339-104501401"	63	10	63	"GRIN3A"	10	5.021e-18	5.915e-15
"9:107368192-107368242"	51	6	51	"OR13C2"	6	1.902e-10	2.126e-07
"9:111621089-111621158"	70	8	70	"ACTL7B"	8	3.655e-14	4.247e-11
"9:116843518-116843619"	102	3	102	"AMBP"	2	0.09593	1
"9:117268959-117269017"	59	6	59	"DFNB31"	6	2.298e-11	2.611e-08
"9:123344174-123344226"	53	4	53	"CDK5RAP2"	2	0.001069	0.4244
"9:125314329-125314379"	51	3	51	"OR1N2"	3	7.607e-05	0.05698
"9:125394711-125394825"	115	3	104	"OR1B1"	3	0.001501	0.5238
"9:126771692-126771757"	66	3	66	"LHX2"	2	0.004403	0.885
"9:129086787-129086843"	57	3	57	"MVB12B"	3	0.0001675	0.1134
"9:130372336-130372388"	53	4	53	"STXBP1"	2	0.003747	0.8393
"9:130892741-130892805"	65	4	65	"PTGES2"	3	3.834e-05	0.03155
"9:135456866-135456962"	97	3	97	"BARHL1"	3	0.0004718	0.2482
"9:138410267-138410317"	51	3	34	"LCN1"	3	7.391e-05	0.05543
"9:138411049-138411103"	55	5	55	"LCN1"	3	3.367e-05	0.02815
"9:138436441-138436538"	98	3	98	"OBP2A"	3	0.0003658	0.2096
"9:140475885-140476026"	142	4	142	"DPH7"	3	0.001561	0.5323
"10:13626935-13626990"	56	4	56	"PRPF18"	4	3.182e-06	0.003067
"10:14374741-14374832"	92	3	92	"FRMD4A"	3	0.0001049	0.07542
"10:16566914-16566994"	81	4	81	"C1QL3"	2	0.003082	0.7828
"10:26726575-26726674"	100	3	100	"APBB1IP"	3	0.01227	1
"10:27389472-27389591"	120	4	120	"ANKRD26"	4	0.0004917	0.2557
"10:27530735-27530806"	72	3	72	"ACBD5"	2	0.002553	0.7148
"10:28035889-28035939"	51	3	51	"MKX"	3	0.000778	0.3397
"10:29577869-29577949"	81	3	81	"LYZL1"	2	0.0668	1
"10:35894150-35894236"	87	3	87	"GJD4"	3	0.005563	0.9482
"10:36812515-36812612"	98	3	98	"NAMPTL"	2	0.0035	0.8298
"10:36813033-36813100"	68	6	68	"NAMPTL"	3	4.648e-05	0.03742
"10:37414606-37414665"	60	3	60	"ANKRD30A"	3	0.0002667	0.1627
"10:37892268-37892370"	103	3	103	"MTRNR2L7"	3	0.001338	0.4951
"10:37892987-37893048"	62	3	62	"MTRNR2L7"	2	0.006493	0.9887
"10:37893050-37893100"	51	3	51	"MTRNR2L7"	3	1.82e-05	0.01616
"10:37894250-37894355"	106	3	106	"MTRNR2L7"	3	0.0004853	0.2538
"10:43764976-43765063"	88	3	88	"RASGEF1A"	2	0.02651	1
"10:44101328-44101416"	89	3	89	"ZNF485"	3	0.004985	0.9123
"10:47083143-47083250"	108	4	108	"NPY4R"	4	2.497e-05	0.02155
"10:47744151-47744201"	51	10	51	"ANXA8L2"	10	2.26e-20	2.678e-17
"10:47745909-47745959"	51	3	51	"ANXA8L2"	3	0.0002039	0.1323
"10:48418423-48418520"	98	3	98	"GDF2"	3	0.0002088	0.1347
"10:51746318-51746371"	54	3	54	"AGAP6"	3	4.783e-06	0.004539
"10:57356860-57357041"	182	5	182	"MTRNR2L5"	5	0.0002488	0.155
"10:62150493-62150549"	57	3	57	"ANK3"	3	0.001665	0.5544
"10:71335505-71335611"	107	6	107	"NEUROG3"	6	2.178e-09	2.398e-06
"10:72573626-72573697"	72	3	72	"SGPL1"	3	3.425e-05	0.02856
"10:74031287-74031338"	52	4	52	"DDIT4"	4	3.849e-07	0.0003922
"10:82050017-82050086"	70	6	70	"MAT1A"	6	1.786e-11	2.034e-08
"10:85953099-85953156"	58	3	58	"CDHR1"	2	0.00568	0.9592
"10:85987665-85987773"	109	4	109	"LRIT2"	4	9.089e-06	0.008426
"10:91061354-91061431"	78	9	78	"IFIT2"	5	1.137e-08	1.227e-05
"10:91152201-91152305"	105	5	102	"IFIT1"	4	1.895e-06	0.001844
"10:94352372-94352422"	51	3	51	"KIF11"	3	5.571e-05	0.04407
"10:97202255-97202305"	51	3	51	"SORBS1"	3	5.365e-06	0.00507
"10:99076891-99076942"	52	3	52	"FRAT1"	3	9.325e-05	0.06817
"10:99078938-99079037"	100	3	84	"FRAT1"	2	0.007163	1
"10:100995670-100995747"	78	3	78	"HPSE2"	3	6.388e-05	0.04874
"10:102222421-102222471"	51	11	51	"WNT8B"	11	1.062e-21	1.261e-18
"10:108926656-108926761"	106	3	106	"SORCS1"	3	0.000196	0.1284
"10:118035715-118035767"	53	4	53	"GFRA1"	2	0.001715	0.5608
"10:118187220-118187300"	81	3	81	"PNLIPRP3"	3	0.000245	0.1529
"10:127582503-127582591"	89	3	89	"FANK1"	2	0.003635	0.8298
"10:127582770-127582825"	56	3	56	"FANK1"	2	0.004157	0.8688
"10:127583025-127583128"	104	5	104	"FANK1"	5	1.231e-06	0.001221
"10:127584319-127584430"	112	4	112	"FANK1"	4	1.512e-05	0.01364
"10:127584494-127584608"	115	11	115	"FANK1"	11	4.155e-16	4.861e-13
"10:127584886-127585008"	123	3	123	"FANK1"	3	0.0004248	0.2315
"10:133797176-133797287"	112	3	112	"BNIP3"	3	0.0003849	0.2157
"10:135050761-135050855"	95	3	95	"VENTX"	3	0.0002877	0.1733
"11:190077-190165"	89	13	86	"SCGB1C1"	10	8.4e-18	9.878e-15
"11:190256-190320"	65	6	65	"SCGB1C1"	5	2.176e-07	0.0002241
"11:191170-191266"	97	8	97	"SCGB1C1"	7	6.728e-10	7.448e-07
"11:191366-191551"	186	8	186	"SCGB1C1"	7	9.05e-09	9.801e-06
"11:574153-574250"	98	9	98	"PHRF1"	7	4.723e-10	5.257e-07
"11:1631443-1631496"	54	3	54	"KRTAP5-3"	2	0.0009821	0.3987
"11:1645587-1645662"	76	3	76	"KRTAP5-4"	3	0.0002547	0.1577
"11:3241168-3241218"	51	4	51	"MRGPRG"	4	1.65e-06	0.001615
"11:5248816-5248892"	77	3	77	"HBB"	3	0.000113	0.08057
"11:5773118-5773221"	104	3	104	"OR52N4"	3	0.0003779	0.2135
"11:5879903-5879955"	53	3	53	"OR52E8"	3	0.00136	0.4991
"11:6049154-6049255"	102	5	102	"OR56A1"	4	7.335e-06	0.006844
"11:9594212-9594266"	55	3	55	"WEE1"	2	0.0006535	0.3
"11:18036766-18036818"	53	8	53	"SERGEF"	7	6.037e-12	6.918e-09
"11:18036822-18036874"	53	4	53	"SERGEF"	3	1.771e-05	0.01574
"11:18610252-18610329"	78	3	65	"UEVLD"	3	0.000438	0.2374
"11:18958645-18958713"	69	3	69	"MRGPRX1"	3	0.0006136	0.2914
"11:30602351-30602445"	95	3	95	"MPPED2"	3	0.000747	0.3315
"11:32850772-32850834"	63	3	63	"PRRG4"	2	0.01142	1
"11:35548523-35548573"	51	3	51	"PAMR1"	3	2.115e-05	0.01853
"11:43333353-43333431"	79	3	79	"API5"	3	0.0005854	0.2859
"11:44334393-44334447"	55	3	55	"ALX4"	3	0.0001314	0.09185
"11:46401479-46401542"	64	3	64	"MDK"	3	7.337e-05	0.05525
"11:47277066-47277170"	105	3	105	"NR1H3"	2	0.01042	1
"11:47447980-47448064"	85	3	76	"PSMC3"	3	0.0001042	0.07502
"11:48343479-48343566"	88	3	74	"OR4C3"	2	0.0005638	0.2785
"11:48346216-48346337"	122	3	122	"OR4C3"	3	0.001565	0.5323
"11:49233090-49233144"	55	3	55	"FOLH1"	3	8.273e-05	0.06147
"11:55027713-55027791"	79	3	79	"TRIM48"	3	0.0005009	0.257
"11:55027820-55027935"	116	3	116	"TRIM48"	3	0.0006193	0.2929
"11:55107715-55107825"	111	4	111	"OR4A16"	4	0.0001201	0.08503
"11:55108213-55108271"	59	4	59	"OR4A16"	4	2.477e-07	0.0002546
"11:55108287-55108346"	60	7	60	"OR4A16"	7	1.416e-13	1.638e-10
"11:55108427-55108492"	66	4	66	"OR4A16"	4	1.652e-06	0.001616
"11:55109381-55109484"	104	3	104	"OR4A16"	3	0.001018	0.4103
"11:55133635-55133753"	119	6	119	"OR4A15"	5	2.98e-06	0.002876
"11:55134356-55134406"	51	3	51	"OR4A15"	3	0.0003302	0.1935
"11:55135241-55135340"	100	3	100	"OR4A15"	3	0.001402	0.5075
"11:55318894-55318982"	89	3	89	"OR4C15"	3	0.0005617	0.278
"11:55319766-55319834"	69	4	69	"OR4C15"	3	0.001001	0.4044
"11:55339267-55339336"	70	3	70	"OR4C16"	3	0.0002951	0.1768
"11:55403768-55403872"	105	3	105	"OR4P4"	3	0.001446	0.5119
"11:55415785-55415929"	145	3	145	"OR4S2"	3	0.01211	1
"11:55586835-55586963"	129	3	129	"OR5D18"	3	0.003919	0.8474
"11:55592261-55592347"	87	3	87	"OR5L2"	3	0.00119	0.4566
"11:55705994-55706095"	102	3	102	"OR5I1"	3	0.001824	0.5837
"11:55738209-55738332"	124	4	124	"OR10AG1"	4	0.0001578	0.1075
"11:55870286-55870416"	131	3	131	"OR8H2"	3	0.0003919	0.2179
"11:55889073-55889171"	99	3	99	"OR8H3"	3	0.002671	0.734
"11:55941916-55942007"	92	3	92	"OR5J2"	3	0.0001512	0.1036
"11:56003158-56003271"	114	4	114	"OR5T2"	4	0.0001224	0.08641
"11:56016953-56017042"	90	3	90	"OR5T3"	3	2.451e-05	0.02123
"11:56060745-56060801"	57	3	57	"OR8H1"	3	0.0001327	0.09249
"11:56140613-56140738"	126	3	126	"OR8U1"	3	0.0005948	0.2873
"11:56141073-56141161"	89	3	89	"OR8U1"	3	0.0001366	0.09494
"11:56141835-56141906"	72	3	72	"OR8U1"	3	0.0002659	0.1625
"11:56186978-56187075"	98	3	98	"OR5R1"	2	0.01633	1
"11:56347129-56347261"	133	3	133	"OR5M10"	3	0.0006619	0.3032
"11:56412528-56412651"	124	3	124	"OR5AP2"	3	0.00323	0.803
"11:56466084-56466189"	106	3	106	"OR9G1"	2	0.01873	1
"11:57309558-57309613"	56	3	56	"SMTNL1"	3	2.103e-05	0.01844
"11:57425019-57425126"	108	3	108	"CLP1"	3	0.0004537	0.2426
"11:57973005-57973055"	51	3	51	"OR1S2"	3	4.504e-05	0.03639
"11:57973130-57973180"	51	4	51	"OR1S2"	4	4.066e-07	0.0004135
"11:57973439-57973529"	91	4	91	"OR1S2"	4	1.198e-05	0.01096
"11:57973811-57973861"	51	3	51	"OR1S2"	3	3.846e-05	0.03161
"11:57974175-57974258"	84	4	84	"OR1S2"	3	0.0005773	0.284
"11:57979637-57979715"	79	4	79	"OR1S1"	3	0.000464	0.2459
"11:57979921-57979971"	51	5	51	"OR1S1"	5	1.855e-08	1.99e-05
"11:57979986-57980229"	244	21	244	"OR1S1"	15	8.434e-20	9.977e-17
"11:57980826-57980935"	110	10	110	"OR1S1"	8	1.941e-12	2.232e-09
"11:57981300-57981350"	51	3	51	"OR1S1"	3	5.323e-05	0.04226
"11:58614489-58614619"	131	4	131	"GLYATL2"	4	6.55e-05	0.04978
"11:58981982-58982051"	70	3	70	"MPEG1"	2	0.005731	0.9592
"11:59269592-59269706"	115	3	115	"OR4D11"	3	0.002836	0.7515
"11:59384279-59384331"	53	3	53	"OSBP"	2	0.00226	0.6666
"11:60000139-60000245"	107	3	107	"MS4A4E"	3	0.003224	0.803
"11:60100956-60101071"	116	3	116	"MS4A6E"	3	0.0007408	0.3315
"11:60222647-60222723"	77	3	77	"MS4A1"	3	0.0002417	0.152
"11:62609087-62609245"	159	8	159	"WDR74"	8	1.662e-10	1.86e-07
"11:62609302-62609354"	53	5	53	"WDR74"	5	7.605e-08	7.97e-05
"11:62785829-62785879"	51	5	51	"SLC22A8"	5	4.492e-09	4.896e-06
"11:64614068-64614165"	98	3	98	"CDC42BPG"	3	0.001409	0.5075
"11:65151224-65151274"	51	3	51	"FRMD8"	3	6.497e-05	0.04951
"11:65818084-65818137"	54	12	54	"SF3B2"	7	1.11e-12	1.28e-09
"11:67181258-67181308"	51	3	51	"CARNS1"	3	7.316e-05	0.05516
"11:67771601-67771705"	105	4	105	"UNC93B1"	4	6.94e-06	0.006489
"11:71274156-71274216"	61	4	61	"KRTAP5-10"	2	0.003667	0.8324
"11:71844637-71844687"	51	5	51	"FOLR3"	5	1.01e-07	0.0001054
"11:74457013-74457063"	51	3	51	"RNF169"	3	2.31e-05	0.0201
"11:75063017-75063067"	51	4	51	"ARRB1"	4	1.848e-06	0.0018
"11:89655622-89655699"	78	3	78	"TRIM49D1"	3	0.002092	0.636
"11:89657185-89657242"	58	3	58	"TRIM49D1"	3	1.327e-05	0.01206
"11:92084135-92084226"	92	4	92	"FAT3"	3	4.093e-05	0.03348
