ATRX	X:76763767-77044701
KLHL5	4:39043657-39128433
KLHL2	4:166128170-166243323
KLHL3	5:136957654-137074778
KLHL1	13:70275756-70685590
KLHL8	4:88084602-88131112
KLHL9	9:21332947-21338378
RP11-724O16.1	2:170335918-170366210
RSPH10B2	7:6790739-6838274
ZDHHC11B	5:710561-769039
MAMDC4	9:139748474-139753568
MAMDC2	9:72655496-72842940
RP11-326F20.5	9:33170354-33172439
LHFPL4	3:9543790-9598485
RP11-1112J20.2	14:63589792-63590149
AP000695.6	21:37803741-37809738
LYG1	2:99900902-99920638
LYG2	2:99858790-99874569
TCTN2	12:124152659-124192346
TCTN3	10:97423781-97456899
TCTN1	12:111048831-111059260
TNXB	6:32012447-32080089
FATE1	X:150881507-150891282
LCE6A	1:152812342-152816344
SERPINB11	18:61350520-61390691
SERPINB10	18:61575105-61602536
SERPINB13	18:61251533-61264685
SERPINB12	18:61220392-61234316
LRMP	12:25202180-25263261
GSTT2B	22:24299842-24306087
AC147651.1	7:525456-525589
SLC32A1	20:37350104-37357291
C6ORF165	6:88114699-88117728
RP11-69I8.3	6:132275513-132387236
AC092162.1	2:177628732-177629134
AC133785.1	2:131586594-131586949
DDB2	11:47233492-47257069
MPV17L2	19:18301039-18306908
SYNE1	6:152443453-152961533
SYNE2	14:64316682-64694378
FAM187B	19:35712851-35722627
SYNE4	19:36494040-36500104
CAMKMT	2:44591700-44999325
RIMS1	6:72593649-73110469
KIF21B	1:200943244-200995827
OTC	X:38211797-38280432
RP11-739N10.1	18:24922598-24922900
AVL9	7:32532100-32994014
UBQLN2	X:56587025-56592205
UBQLN3	11:5528528-5530822
UBQLN1	9:86271876-86326117
UBQLN4	1:156003013-156024541
OR8B12	11:124412520-124416549
DAPK3	19:3959078-3972826
DAPK2	15:64200668-64341520
DAPK1	9:90109755-90322315
ULK2	17:19671445-19774238
ULK3	15:75129542-75133068
SNTA1	20:31996216-32034697
ULK1	12:132376278-132406033
RP11-127B20.3	4:83298144-83298148
ULK4	3:41307392-42006659
TNR	1:175290631-175715751
ZFPL1	11:64851706-64855869
CTA-292E10.6	22:29206792-29219397
TNF	6:31542101-31545359
UBQLNL	11:5536182-5537725
TNN	1:175033993-175113719
SATL1	X:84347360-84366973
RN7SL17P	17:20245589-20245916
HDAC11-AS1	3:13517618-13517912
RNLS	10:90030954-90343517
UBL5	19:9935566-9942996
UBL7	15:74738379-74753151
STK19	6:31946606-31946798
UBL3	13:30341338-30427819
STK10	5:171471717-171618389
STK11	19:1189533-1231327
STK16	2:220107203-220113294
HCRT	17:40336076-40337814
AC021860.1	4:38662789-38662814
SV2A	1:149876618-149892433
SV2C	5:75376304-75621483
SV2B	15:91640181-91835852
RP11-21C4.1	8:65489794-65489811
EHF	11:34651010-34680549
GRB10	7:50660621-50859715
GRB14	2:165349480-165481357
RP1-313I6.12	6:28045481-28045750
RP11-279O17.3	16:8360793-8360892
HSD17B12	11:43699142-43876822
HSD17B13	4:88231357-88247055
CTC-435M10.3	19:41893326-41903082
RP11-92C4.3	9:101624579-101630424
GPR12	13:27332900-27337921
HSD17B14	19:49316272-49340351
RP11-545A16.4	1:179556757-179557745
GPR19	12:12814060-12852120
GPR18	13:99907075-99913839
ARNTL	11:13296324-13402873
RP5-1186P10.2	7:74020287-74021148
RP11-443B7.3	1:235112750-235115067
KCNMA1	10:78637435-79400576
RP11-324D17.1	16:54279491-54279767
LINC01036	1:187181532-187268974
LINC01032	1:192914638-192915786
LINC01031	1:193284094-193284404
PCYOX1L	5:148734569-148748292
RP11-10J21.3	8:142263981-142266852
HEATR5A	14:31762438-31864621
HEATR5B	2:37208589-37314484
OR14C36	1:248509076-248513104
ARNT2	15:80695917-80889677
RNU1-55P	20:5871544-5871936
PLXNC1	12:94539498-94699102
ZNRF4	19:5452425-5456830
ZNRF1	16:75029926-75141879
ZNRF3	22:29276754-29449722
ZNRF2	7:30320922-30402043
EFCAB9	5:171618390-171630438
EFCAB8	20:31451512-31508112
MYBBP1A	17:4445636-4457604
EFCAB5	17:28265622-28435131
FLNA	X:153577202-153604554
FLNB	3:57991126-58160033
FLNC	7:128467482-128499877
EFCAB1	8:49637223-49650869
EFCAB3	17:60444578-60493767
EFCAB2	1:245130170-245285223
MIR34A	1:9211682-9211862
TESPA1	12:55343931-55374376
GRTP1	13:113975683-114021445
KB-1460A1.1	8:102135027-102135272
PRKCSH	19:11548942-11559138
RAD51AP1	12:4645094-4671542
RAD51AP2	2:17692001-17699747
SAP30BP	17:73663213-73702668
SIT1	9:35649843-35653936
RP11-817J15.3	11:102552510-102554342
CXorf28	X:3189781-3202304
CXorf24	X:47342969-47344206
CXorf27	X:37850069-37850568
CXorf21	X:30577512-30592672
CXorf23	X:19935336-19991381
CXorf22	X:35937867-36007711
RP4-555D20.2	3:44155789-44155926
RP4-555D20.4	3:44036593-44042328
MT2A	16:56639477-56645844
PSMD8	19:38862189-38876390
PSMD5	9:123577959-123608205
PSMD4	1:151224196-151239849
PSMD7	16:74327672-74339664
PSMD6	3:63996292-64012119
PSMD1	2:231918577-232039143
PSMD3	17:38134059-38154115
PSMD2	3:184014021-184029327
RP11-600F24.7	14:103992508-103992518
RPGRIP1L	16:53635969-53740758
COPS7B	2:232646001-232673323
CIDECP	3:10059513-10059813
COPS7A	12:6830179-6840415
NAF1	4:164031299-164091072
DKK4	8:42231586-42237673
SPIRE1	18:12449558-12653529
DKK3	11:11985937-12033628
SPIRE2	16:89886054-89937726
RABGGTB	1:76248885-76260763
RABGGTA	14:24731772-24743835
CES4A	16:67019491-67043074
GJE1	6:142454224-142456113
C2ORF15	2:99766947-99767365
EBLN1	10:22497743-22498994
EBLN2	3:73111158-73112135
POF1B	X:84534353-84637747
KLF5	13:73630141-73650134
RP11-763F8.1	4:92239235-92246391
RP11-472G21.2	10:73640828-73641006
MS4A6E	11:60099354-60107483
PLBD2	12:113793370-113826449
PLBD1	12:14656626-14723790
CTD-3224K15.3	5:139022531-139023339
PTAR1	9:72333212-72377874
CEP350	1:179920907-180080332
RP11-421M1.8	6:10741038-10741294
RP1-228P16.5	12:48413791-48418946
RP1-228P16.3	12:48401269-48401284
YEATS2	3:183412605-183528444
DHRS4L2	14:24454113-24475291
CTAGE15	7:143268810-143271380
TCEANC	X:13668306-13681732
KIF22	16:29799057-29819704
RP11-582E3.2	12:27298284-27300708
C11orf58	11:16757147-16776736
C11orf53	11:111152058-111156848
C11orf52	11:111789603-111800595
C11orf57	11:111946233-111954620
C11orf54	11:93474807-93494883
USP17L28	4:9347617-9352362
RP11-219F10.1	10:85673474-85673573
GANC	15:42563365-42648781
RP11-366M4.3	4:165798408-165800210
TUBB	6:30684976-30692223
CGA	6:87795409-87807823
USP17L23	4:9271089-9274586
USP17L20	4:9256848-9261596
HDAC1	1:32754707-32797933
HDAC3	5:140997623-141016383
CGB	19:49523338-49530589
HDAC5	17:42156672-42204013
HDAC4	2:239968227-240325642
HDAC7	12:48178450-48216762
HDAC6	X:48657486-48683075
HDAC9	7:18161166-19035726
CIRBP	19:1260733-1273170
TMEM161A	19:19230638-19252266
TMEM161B	5:87485795-87567664
AP000640.2	11:59439453-59439510
KIAA1549L	11:33560876-33689774
FILIP1	6:76005597-76163924
UPF3AP2	17:20278889-20280136
CDT1	16:88866619-88875744
CST8	20:23468765-23476669
CST9	20:23583198-23589512
TRAPPC11	4:184577419-184633885
TRAPPC10	21:45429205-45529086
TRAPPC13	5:64931061-64958042
TRAPPC12	2:3391318-3484085
CST2	20:23804580-23810311
CST3	20:23614465-23621573
CST1	20:23728391-23734573
CST6	11:65776461-65780944
CST7	20:24926865-24940460
CST4	20:23666454-23672661
CST5	20:23856749-23863379
PTPLAD1	15:65819826-65868715
PLA2R1	2:160798231-160922120
CSTA	3:122041089-122060485
CMC1	3:28280123-28365987
CMC2	16:81014446-81041100
CMC4	X:154290065-154299636
AMIGO1	1:110050236-110055335
RP11-522B15.3	15:96895728-96934634
AMIGO2	12:47471165-47473422
RP11-522B15.5	15:96984780-96985084
SRCAP	16:30707461-30753237
CECR1	22:17662322-17697884
FAM86C1	11:71500752-71514012
CECR3	22:17745324-17745618
CECR5	22:17618824-17646217
CEBPB	20:48804374-48811171
CEBPA	19:33789889-33796429
CEBPG	19:33862429-33875614
CEBPE	14:23584187-23591508
CEBPD	8:48651473-48653725
IMPA1P	8:82538263-82542775
LCE5A	1:152480319-152484197
ZNF547	19:57871933-57889620
PHKB	16:47526943-47733352
ZNF546	19:40499942-40521791
ADNP2	18:77863914-77896722
MAP3K15	X:19387138-19536378
RN7SL360P	2:101220086-101220197
CRNN	1:152382111-152389738
AC093642.3	2:242911453-242911733
CTNNA1	5:138086108-138269816
CTNNA2	2:79522416-80875060
CTNNA3	10:67680050-69458926
OR5AU1	14:21623016-21627183
SELRC1	1:53153365-53167037
UBAP1L	15:65385353-65403433
TOMM40	19:45391475-45406945
TM7SF3	12:27126858-27170326
TM7SF2	11:64879328-64883872
EPB41L4B	9:111936769-112086020
RP11-428F8.2	6:111559731-111577548
ATP2C2	16:84399132-84497391
PTENP1	9:33675388-33680417
ATP2C1	3:130566437-130720259
HELB	12:66693355-66731959
CERS6	2:169309834-169626244
CERS4	19:8271216-8327114
CERS5	12:50524294-50564096
CERS2	1:150934969-150950478
CERS3	15:100942850-101087924
TFB2M	1:246704252-246729625
GP9	3:128776644-128781110
GP5	3:194117277-194122082
GP6	19:55525673-55552631
GP2	16:20322525-20341371
GPI	19:34853031-34891643
EXTL1	1:26345270-26361931
EXTL2	1:101339492-101361553
EXTL3	8:28556152-28608426
RGSL1	1:182416279-182525192
FAM57A	17:632846-649080
GPT	8:145727504-145732556
MAN1A1	6:119500877-119673925
MAN1A2	1:117907084-118067853
KRTAP20-2	21:32004582-32008580
KRTAP20-3	21:32012182-32016180
ATIC	2:216173678-216217371
KRTAP20-4	21:31992954-31993073
KCNQ1-AS1	11:2883659-2883962
RP11-159H22.2	11:27497322-27497333
CTC-340A15.2	5:163767018-164595747
HDAC11	3:13518714-13549562
LRTM1	3:54952451-54962100
LRTM2	12:1926432-1943969
CTC-232P5.1	19:5981151-5989915
RNU6-560P	11:85862565-85862775
IKBKG	X:153774162-153796218
CTA-833B7.2	22:37252509-37252740
SYNM	15:99642285-99678444
SNORA71D	20:37060605-37064235
SYNC	1:33145172-33171360
RP11-536O18.1	9:13448038-13448144
OR13J1	9:35869368-35873397
AP4B1	1:114437702-114447691
ZBP1	20:56179547-56198631
RP11-290F20.3	20:48885651-48894901
PIK3IP1	22:31679077-31691519
ZFAND2B	2:220068537-220072983
THADA	2:43396498-43826184
ZFAND2A	7:1191778-1202854
RP11-276H7.3	1:16489022-16489206
ACSF2	17:48500518-48551658
ACSF3	16:89157216-89220711
MAN2A2	15:91444419-91463072
MAN2A1	5:109022155-109202755
EDA2R	X:65819264-65838871
LCT	2:136545811-136597193
RBFOX3	17:77086836-77481684
FAM163A	1:179709297-179783408
GALK2	15:49450849-49620714
SLURP1	8:143822421-143826828
RP11-809C9.2	12:116989657-116990811
USP32P3	17:20319057-20330473
POLE3	9:116166613-116172964
STRN	2:37076572-37196614
NXNL1	19:17566315-17574724
NXNL2	9:91147014-91190180
AC064834.3	2:196439143-196439288
LCK	1:32715600-32751457
AC064834.1	2:196336129-196336228
SYN1	X:47434511-47480610
LCNL1	9:139876190-139879462
LINC00184	1:234767594-234767924
ACCSL	11:44066530-44081536
LINC00189	21:30563274-30631203
C12orf10	12:53693234-53703622
RP11-379F4.4	3:158461823-158493371
RP11-501J20.2	10:118922719-118926762
NPY4R	10:47080533-47088025
RP11-982M15.6	14:105144481-105148611
RP11-982M15.7	14:105124210-105124454
RP11-982M15.8	14:105124455-105132663
RP11-1C8.4	8:104509975-104510112
LL09NC01-251B2.3	9:136996269-136996566
GABRB1	4:47030375-47428117
AKR1B1	7:134127444-134146887
GABRB3	15:26792810-27061586
RP1-35C21.2	1:177454849-177481459
LINC00051	8:143282499-143282659
SEPP1	5:42800821-42815023
RBAK-RBAKDN	7:5023258-5112955
NLRC4	2:32449520-32493688
NLRC5	16:57033386-57116503
NLRC3	16:3598785-3628179
DYDC2	10:82122146-82126739
DYDC1	10:82098129-82112447
RAP1GAP	1:21919706-21993401
MIR100	11:122022869-122023100
RP11-183M13.1	1:78703687-78703841
TPRG1	3:188663293-189038695
MALT1	18:56335617-56415110
COL18A1	21:46823896-46931269
OPRK1	8:54141753-54167193
FRMD5	15:44165291-44490428
RP11-794P6.2	11:111322091-111327348
RP11-2K6.2	16:63403329-63403428
DNAH17	17:76419890-76576475
DNAH10	12:124246302-124403509
PHGDH	1:120251508-120286822
DNAH12	3:57330361-57533070
AC018755.1	19:52092747-52100629
AHDC1	1:27863219-27933142
EDN1	6:12287594-12296413
EDN3	20:57872498-57899566
EDN2	1:41945045-41953343
PTTG1IP	21:46266498-46296751
KIAA1244	6:138480056-138657685
RSPRY1	16:57222944-57272871
RP11-473L15.2	5:44405990-44406096
RP11-2L4.1	16:82600090-82609233
DKKL1	19:49863849-49878353
UBE2L6	11:57317389-57338179
OPN1MW	X:153448106-153461617
LONP1	19:5691933-5714353
OR56A3	11:5965576-5969618
UBE2L3	22:21918956-21980090
OR56A1	11:6047911-6051970
RP11-46D6.1	16:46660315-46660897
TGFA	2:70692740-70784146
PREX2	8:68861602-69143699
PREX1	20:47242318-47447419
RP11-380O24.1	3:9344110-9344330
RP5-933K21.3	6:157747633-157748252
CTD-3162L10.4	19:36873101-36873104
SLC14A2	18:42789958-43262562
SLC14A1	18:43301091-43332369
FLJ30594	2:6114724-6114957
EVPL	17:74003143-74026506
STT3A	11:125459738-125493782
RP11-231C14.4	16:29493642-29500055
FAM8A1	6:17597584-17608574
AZGP1P1	7:99576780-99584859
AC005037.3	2:201831403-201831423
AC005037.2	2:201708708-201708849
AC073987.1	2:103768696-103793818
CSN1S2AP	4:70931768-70935766
NUTM2A-AS1	10:88971804-89036241
OXGR1	13:97636175-97649603
SLC13A1	7:122755526-122843024
SLC13A2	17:26797663-26827798
SLC13A3	20:45188547-45283099
SLC13A4	7:135366248-135414344
SLC13A5	17:6589437-6619739
RGS16	1:182569442-182576542
RGS17	6:153325592-153455383
RGS14	5:176781837-176799165
RGS12	4:3312873-3438988
RGS13	1:192602273-192628722
RGS10	10:121258858-121305219
RGS11	16:318760-328928
RGS18	1:192124591-192153742
RGS19	20:62705166-62711322
EMX2OS	10:119256222-119294981
UTP6	17:30187921-30231728
UTP3	4:71551195-71555905
CLEC16A	16:11038579-11277354
IGFL2	19:46648499-46665716
ANKAR	2:190537710-190611383
BTN2A2	6:26380328-26397373
BTN2A1	6:26455152-26476449
IGFL1	19:46730008-46734229
TRAJ17	14:22998453-22998766
TRAJ13	14:22999200-22999426
TRAJ10	14:22999982-23005244
RP11-154D17.1	9:84371909-84372008
TRAJ18	14:22992473-22997597
TTLL11	9:124584722-124858884
TTLL10	1:1106285-1136314
TTLL13	15:90789763-90792786
TTLL12	22:43563937-43586136
IGFL4	19:46543042-46547273
ODF2L	1:86814421-86865022
PLAU	10:75667914-75676322
PLAT	8:42033432-42068193
OR10J5	1:159504765-159508796
C1orf198	1:230975518-231004204
SNF8	17:47007804-47025153
OR10J3	1:159283355-159287448
AC018890.6	2:175584587-175584713
C1orf192	1:161334716-161336120
PLAA	9:26905426-26947460
C1orf194	1:109646945-109657582
RP5-1103G7.10	20:247651-247750
ESRP1	8:95650363-95718241
AC112219.1	3:72309272-72309688
BCL6B	17:6923368-6933235
RNU6-376P	11:118570294-118570499
HIF3A	19:46797302-46842948
MZT2A	2:132241570-132253063
MZT2B	2:130936828-130951284
PMM2	16:8888669-8941744
PMM1	22:41973126-41988870
AC083949.1	2:42368527-42369228
ZNF709	19:12574767-12662263
ZNF708	19:21475974-21515211
ZNF703	8:37550300-37556293
ZNF701	19:53070916-53087138
ZNF700	19:12032899-12061143
ZNF707	8:144763621-144790349
EMCN-IT2	4:101704782-101705095
ZNF704	8:81553567-81790015
ZC3H10	12:56508942-56519277
ZC3H13	13:46531183-46619741
RNF115	1:145610884-145688205
ZC3H15	2:187347884-187373525
ZC3H14	14:89026252-89078158
RNF111	15:59276864-59387178
ZC3H18	16:88633788-88701373
GRIN1	9:140030608-140059841
DHX8	17:41558333-41601283
DHX9	1:182805502-182856637
AC068039.4	2:172628973-172629293
NUP98	11:3697311-3822021
XPC	3:14193720-14214619
GRINA	8:145063614-145070261
NUP93	16:56761016-56878594
RP11-327I22.5	9:43145951-43163007
RAB40C	16:637088-679271
RP11-327I22.8	9:43185392-43188168
RAB40A	X:102754802-102777416
GTSE1	22:46692905-46728320
NSL1	1:212900459-212962209
MYO3B	2:171031654-171509689
AL354732.1	1:170339061-170339330
NOP2	12:6663249-6680479
DENND4A	15:65951560-66087461
DENND4B	1:153902826-153916967
DENND4C	9:19231298-19372255
RP11-196D18.1	7:62517785-62517808
SWAP70	11:9682627-9771598
PHLDA1	12:76424283-76429247
PHLDA3	1:201437300-201441298
PHLDA2	11:2949651-2953649
PAMR1	11:35453855-35550175
TIPRL	1:168145170-168169367
GHDC	17:40337815-40349476
H19	11:2017699-2019255
RNU7-165P	10:115112941-115113194
AC007390.5	2:37423185-37443599
NOG	17:54668059-54675164
NOV	8:120425551-120435471
RP11-803B1.8	3:75481898-75484317
SMAD9	13:37422689-37497408
TRERF1	6:42195946-42422782
LRPAP1	4:3514577-3537223
SMAD5	5:135465535-135513220
SMAD6	15:66991673-67073906
SMAD7	18:46447685-46480080
GOLPH3L	1:150620771-150672499
SMAD1	4:146399950-146479151
SMAD2	18:45368114-45460514
SMAD3	15:67355194-67490445
RP11-113D6.6	11:18162021-18211211
AMMECR1L	2:128622653-128631870
MIR720	3:164057348-164057666
RAD21L1	20:1203763-1235207
PLRG1	4:155458375-155474584
ERICH2	2:171638712-171655445
ERICH1	8:565152-674181
HERC2P3	15:20590676-20714413
HERC2P2	15:23283210-23377541
HERC2P5	16:32769622-32784935
HERC2P4	16:32178361-32185864
HERC2P9	15:28896586-28927420
HERC2P8	16:33107127-33123785
TCEA2	20:62685644-62703618
TCEA3	1:23710749-23754232
RNU6-450P	17:57923000-57925428
TCEA1	8:54880498-54938007
BFAR	16:14723786-14762977
RP11-451H23.3	5:180110271-180116545
OR6P1	1:158532351-158536393
AP000473.6	21:18124044-18184136
LEO1	15:52235939-52266957
MGRN1	16:4671824-4738959
DPT	1:168670194-168701441
CUEDC1	17:55938338-56026307
CUEDC2	10:104181901-104195417
RBMXL1	1:89448384-89461642
RBMXL3	X:114420962-114427292
RBMXL2	11:7107164-7111637
RP11-453F18__B.1	X:130880518-130952770
RHEBL1	12:49458862-49466774
PVRL3-AS1	3:110688602-110744067
CNTF	11:58388515-58392014
RNU6-785P	9:141149143-141152344
PNP	14:20934537-20944826
RP11-496D24.2	4:24659786-24660224
PNN	14:39641416-39651138
HAMP	19:35770715-35775959
MR1	1:181000065-181032214
CNPY4	7:99720464-99723133
CNPY3	6:42893936-42906641
CNPY2	12:56703666-56713119
CNPY1	7:155264047-155301814
ANKRD30BL	2:132905604-133011622
RN7SL527P	10:49087379-49093256
RP11-488I20.8	16:34441881-34442278
RP5-896L10.1	1:99473761-99474038
IGLV10-54	22:22569136-22569716
SHOX2	3:157815752-157820641
RP11-275O4.3	1:227695295-227695406
SYPL1	7:105732197-105756021
TIGD1	2:233412777-233415225
SYPL2	1:110006178-110022198
RFX8	2:102013980-102094164
RFX5	1:151314317-151322768
RFX6	6:117195421-117252724
RFX7	15:56385456-56538482
RFX1	19:14073712-14120133
RFX2	19:5994738-6113544
RFX3	9:3224989-3528982
YDJC	22:21982563-21987352
IBA57	1:228350514-228363252
APC	5:112043376-112179893
TMEM179B	11:62551885-62560717
KERA	12:91445088-91454759
RP11-580I1.2	15:24521447-24521946
RP11-580I1.1	15:24450169-24471201
RP11-287D1.3	2:74438844-74593503
ZNF57	19:2897895-2918343
AP001476.4	21:47469508-47469651
AC226150.4	12:133787280-133787773
AC108142.1	4:182826651-182990738
TARS2	1:150456919-150480077
OSR1	2:19548244-19561371
RP4-601K24.1	1:83411289-83530530
IGFBP3	7:45954442-45963870
IGFBP1	7:45924958-45932710
HBE1	11:5289606-5526833
IGFBP7	4:57905677-57979550
IGFBP4	17:38596700-38610354
IGFBP5	2:217541451-217563247
CYP2R1	11:14899585-14916797
LINC00444	13:48478394-48478706
APLNR	11:57003266-57007674
RN7SL303P	8:22832855-22838637
CYP8B1	3:42897766-42920389
PMS2P3	7:75141822-75155309
PMS2P4	7:66762111-66766212
CTD-2337A12.1	5:95360202-95905046
TXNIP	1:145435467-145441251
RP11-637O11.2	3:168011715-168011915
FAM157A	3:197879133-197926061
FAM157B	9:141106528-141135363
FAM157C	16:90225710-90244462
MECOM	3:168802611-169384405
RP11-114G22.1	12:23194999-23325061
CLIC6	21:36038687-36088867
CLIC4	1:25068846-25167493
CLIC5	6:45870772-46051084
CLIC2	X:154507140-154566954
CLIC3	9:139889121-139894023
CLIC1	6:31698394-31709099
KIAA0020	9:2804224-2847129
HOXD-AS1	2:177047109-177047316
SOWAHA	5:132149378-132151020
SOWAHB	4:77814770-77819011
SOWAHC	2:110374720-110374782
SOWAHD	X:118890271-118893643
PKD1P5	16:18476188-18486679
TSNAX-DISC1	1:231720749-231751032
GAMT	19:1397316-1404551
CTD-2369P2.10	19:10419068-10426684
ZNF7	8:146049902-146071628
RNU1-92P	1:149215298-149215703
ZNF2	2:95828352-95847914
ZNF3	7:99668707-99682370
TIPIN	15:66625542-66652053
ZNF8	19:58790316-58806956
RP11-299G20.2	15:101838456-101841094
RP11-403P17.5	16:66536059-66551104
CDC5L	6:44352260-44414529
SBDS	7:66453284-66460587
MRPS18A	6:43639498-43658527
AP2A1	19:50267390-50306654
AP2A2	11:922878-1009818
CLC	19:40221949-40231667
RP11-650K20.3	12:104235228-104238009
NSUN3	3:93781764-93845381
NSUN2	5:6600001-6636154
NSUN5	7:72714478-72723532
NSUN4	1:46803389-46827578
NSUN7	4:40748913-40811031
NSUN6	10:18834823-18940550
BCL3	19:45248247-45262830
RP11-259O2.1	5:1930975-1939992
PAGR1	16:29827201-29831727
MIR548AJ1	6:132435630-132436505
RRP7A	22:42904920-42918807
CDR2L	17:72984090-73000265
MSLNL	16:822561-831971
RP1-137K24.1	5:15216649-15217025
BRDT	1:92414708-92479856
BRD8	5:137475453-137514685
BRD9	5:864479-892854
BRD4	19:15349104-15394261
BRD7	16:50355875-50405844
BRD1	22:50167819-50221451
BRD2	6:32937008-32948548
BRD3	9:136898617-136936140
RP11-680G10.1	16:85391025-85395547
CH25H	10:90966072-90970070
CSF2RB	22:37306674-37339096
CSF2RA	X:1393558-1428539
DMD	X:31139902-33357480
SEH1L	18:12944992-12987083
GAB4	22:17443526-17492111
STX16-NPEPL1	20:57223488-57290433
GAB2	11:77924616-78131867
GAB3	X:153906410-153982347
GAB1	4:144254982-144390449
ZSCAN9	6:28190040-28201025
ZSCAN4	19:58177302-58190519
RP11-458F8.4	7:66370643-66370787
ZSCAN2	15:85141248-85174026
DNAJB13	11:73658363-73681145
DNAJB12	10:74091362-74117906
VIL1	2:219280837-219314128
PCTP	17:53825339-53900306
DNAJB14	4:100817403-100861872
RP11-383M4.2	9:84540342-84542138
RP11-383M4.6	9:84542139-84584127
SUPT20H	13:37591322-37636849
VILL	3:38032077-38051678
EFTUD1P1	15:84748239-84784976
KRTAP24-1	21:31654277-31658275
PSD	10:104159374-104181900
OR8U1	11:56140099-56144120
KB-1572G7.2	22:24056630-24059406
AMOTL2	3:134076522-134096405
L34079.2	19:44058845-44097020
AC084121.16	8:7636614-7638861
ZNF674-AS1	X:46407876-46407891
PPIAL4A	1:147954420-147958418
BPI	20:36899647-36965663
PPIAL4C	1:149550002-149554000
PPIAL4B	1:144363247-144367245
RP11-399K21.11	10:77138246-77142336
PPIAL4D	1:148201537-148205535
PPIAL4G	1:143766882-143770880
KRTAP19-5	21:31873409-31877407
KRTAP19-8	21:32409796-32413794
AC123886.2	2:111368209-111368466
RP11-503G7.2	12:133039885-133040127
FAM214A	15:52874273-52970260
FAM214B	9:35104116-35118892
RP11-297P16.3	4:104493514-104495029
AKIRIN2	6:88385217-88414926
AKIRIN1	1:39453915-39469079
EREG	4:75227859-75250562
AVPI1	10:99437537-99450014
RP11-395P13.4	5:124709617-124710391
ASAP1	8:131066866-131458905
ASAP2	2:9343893-9540278
ASAP3	1:23754233-23813671
OCRL	X:128671251-128724284
HILPDA	7:128092901-128097583
KIAA1033	12:105498491-105560802
C14orf132	14:96502660-96562640
GNG12-AS1	1:68302150-68364376
SEMA6A	5:115782272-115913550
CALCRL	2:188210880-188316020
RP11-536G4.1	12:96216807-96217140
TMEM72-AS1	10:45359075-45445965
ANKLE1	19:17397084-17397494
SERPINB9	6:2886441-2906513
ANKLE2	12:133303747-133341450
RHPN1	8:144448055-144464884
OLR1	12:10312400-10327736
CSNK1G3	5:122844792-122950145
SRRM1	1:24966593-24998806
SRRM3	7:75833147-75917121
SRRM2	16:2799329-2822196
SRRM4	12:119416299-119594647
RP1-152L7.5	6:52532883-52532904
RP5-1011O1.3	1:192500255-192509149
RP5-1011O1.2	1:192485849-192524370
TM2D1	1:62149076-62194094
TM2D2	8:38848797-38851226
TM2D3	15:102173756-102193798
OGFRL1	6:71995504-72011802
RP11-258F22.1	10:38065351-38065617
RSBN1	1:114304452-114356430
ARHGAP23	17:36581719-36666281
ARHGAP22	10:49654371-49858255
ARHGAP21	10:24873277-25015596
ARHGAP20	11:110447723-110586450
ARHGAP27	17:43473312-43510263
ARHGAP26	5:142147291-142609363
ARHGAP25	2:68958912-69056844
ARHGAP24	4:86393283-86921930
ARHGAP29	1:94639371-94706188
RP13-395E19.3	15:32713816-32729811
HHAT	1:210498595-210847701
RBFA	18:77791356-77806244
RP11-372M18.2	1:209538128-209542896
RN7SL736P	15:90835165-90835270
RP11-396B14.2	16:11296000-11319542
AC005808.3	20:52238142-52240317
NDUFAF2	5:60240955-60448830
RP11-1029J19.4	14:102093345-102097187
RSAD2	2:7008827-7036185
RSAD1	17:48553189-48562241
IGLV1-51	22:22676801-22677413
IGLV1-50	22:22681664-22682236
RNU6-765P	9:38682686-38683006
IL4R	16:27322250-27375718
DYNC1LI1	3:32568221-32615365
DYNC1LI2	16:66757567-66788524
EFHC2	X:44007870-44205917
EFHC1	6:52282104-52357198
RNVU1-18	1:149222772-149224216
ABCG1	21:43621728-43716556
PLSCR4	3:145912136-145971965
PLSCR5	3:146303847-146323055
PLSCR2	3:146159518-146216740
ABCG5	2:44036745-44068890
PLSCR1	3:146233813-146265627
ABCG8	2:44068891-44105099
RP11-173L6.1	18:73570346-73571155
GADL1	3:30769688-30939152
KRTAP5-10	11:71273608-71280088
KRTAP5-11	11:71290663-71316548
AKR1B10	7:134209343-134225904
AKR1B15	7:134230886-134264388
SLA2	20:35251668-35277618
RP11-77P16.4	3:129830246-129830324
C4orf36	4:87797578-87857151
C4orf32	4:113063552-113108175
C4orf33	4:130017718-130033019
RP11-962G15.1	8:36441392-36638889
C15orf48	15:45719762-45725416
TSNAXIP1	16:67848157-67859057
C15orf40	15:83663972-83681604
C15orf41	15:36871981-37101224
C15orf43	15:45248869-45270898
PKD2	4:88925818-88996888
PKD1	16:2139613-2188898
ZNF138	7:64251770-64295914
PRKACG	9:71627876-71632038
PRKACA	19:14202498-14230318
PRKACB	1:84551578-84700994
ZNF131	5:43118641-43175614
ZNF132	19:58944652-58954588
ZNF133	20:18266120-18297510
ZNF134	19:58122829-58132874
ZNF135	19:58567646-58579903
ZNF136	19:12270877-12298880
C20orf78	20:18790350-18810766
RP4-676L2.1	8:29211185-29213648
RP11-34D15.2	10:102103771-102103878
SPG7	16:89571809-89624173
KLHDC9	1:161066355-161070067
